"","GOID","Term","Pvalue.RNA","Pvalue.ATAC","Ontology","lipid.related"
"regulation of myeloid cell differentiation","GO:0045637","regulation of myeloid cell differentiation",0.000300051038947754,0.0210004403751091,"BP",FALSE
"positive regulation of myeloid cell differentiation","GO:0045639","positive regulation of myeloid cell differentiation",0.0077951808690208,0.00690431755469934,"BP",FALSE
"regulation of erythrocyte differentiation","GO:0045646","regulation of erythrocyte differentiation",0.000123627309116044,0.00315862605930906,"BP",FALSE
"regulation of myoblast differentiation","GO:0045661","regulation of myoblast differentiation",0.000178008893860187,0.00402322452308219,"BP",FALSE
"regulation of neuron differentiation","GO:0045664","regulation of neuron differentiation",1.79668247566869e-17,1.219930312581e-13,"BP",FALSE
"negative regulation of neuron differentiation","GO:0045665","negative regulation of neuron differentiation",6.13702046679383e-07,1.07472939780665e-11,"BP",FALSE
"positive regulation of neuron differentiation","GO:0045666","positive regulation of neuron differentiation",5.95645903533237e-09,1.07035719270004e-05,"BP",FALSE
"regulation of osteoblast differentiation","GO:0045667","regulation of osteoblast differentiation",2.09815764262813e-05,4.6347675487323e-06,"BP",FALSE
"regulation of epidermis development","GO:0045682","regulation of epidermis development",0.00184941714945452,0.000211689485508872,"BP",FALSE
"negative regulation of epidermis development","GO:0045683","negative regulation of epidermis development",0.00782392000447204,0.02326985207707,"BP",FALSE
"regulation of glial cell differentiation","GO:0045685","regulation of glial cell differentiation",0.00542911057766721,0.00373789574054824,"BP",FALSE
"negative regulation of glial cell differentiation","GO:0045686","negative regulation of glial cell differentiation",0.000977795424914655,0.000817985910376587,"BP",FALSE
"positive regulation of glial cell differentiation","GO:0045687","positive regulation of glial cell differentiation",0.0410107174156628,0.0377139695895062,"BP",FALSE
"positive regulation of glycogen biosynthetic process","GO:0045725","positive regulation of glycogen biosynthetic process",0.0398178288723573,0.00106941130792307,"BP",FALSE
"positive regulation of Notch signaling pathway","GO:0045747","positive regulation of Notch signaling pathway",0.000954447585616512,0.00162590834385176,"BP",FALSE
"regulation of angiogenesis","GO:0045765","regulation of angiogenesis",1.59689006187654e-09,0.0150395860311673,"BP",FALSE
"positive regulation of glycolytic process","GO:0045821","positive regulation of glycolytic process",0.00287599808932475,0.00629981519629547,"BP",FALSE
"positive regulation of striated muscle tissue development","GO:0045844","positive regulation of striated muscle tissue development",2.85694095508777e-05,0.000222929173091189,"BP",FALSE
"regulation of protein kinase activity","GO:0045859","regulation of protein kinase activity",7.35187473487176e-12,0.00120369054266238,"BP",FALSE
"positive regulation of protein kinase activity","GO:0045860","positive regulation of protein kinase activity",3.59751227073322e-15,0.0113072569334277,"BP",FALSE
"negative regulation of transcription, DNA-templated","GO:0045892","negative regulation of transcription, DNA-templated",7.26382354551055e-11,5.89151865249505e-20,"BP",FALSE
"positive regulation of transcription, DNA-templated","GO:0045893","positive regulation of transcription, DNA-templated",5.91652035691805e-16,2.62853802448806e-21,"BP",FALSE
"negative regulation of growth","GO:0045926","negative regulation of growth",0.00587920145377806,0.000323351656892318,"BP",FALSE
"negative regulation of nucleobase-containing compound metabolic process","GO:0045934","negative regulation of nucleobase-containing compound metabolic process",1.77827661927296e-07,5.20173390260162e-20,"BP",FALSE
"positive regulation of nucleobase-containing compound metabolic process","GO:0045935","positive regulation of nucleobase-containing compound metabolic process",9.53677935084356e-13,4.3562911224107e-22,"BP",FALSE
"negative regulation of phosphate metabolic process","GO:0045936","negative regulation of phosphate metabolic process",2.56381823121959e-05,3.75561114801457e-07,"BP",FALSE
"positive regulation of phosphate metabolic process","GO:0045937","positive regulation of phosphate metabolic process",4.60883451175265e-10,0.0168524591440851,"BP",FALSE
"positive regulation of transcription by RNA polymerase II","GO:0045944","positive regulation of transcription by RNA polymerase II",9.8545135239597e-21,5.18881949839159e-25,"BP",FALSE
"positive regulation of nucleotide metabolic process","GO:0045981","positive regulation of nucleotide metabolic process",0.00371836785180492,0.0263372058247855,"BP",FALSE
"negative regulation of embryonic development","GO:0045992","negative regulation of embryonic development",0.00187972659043445,0.00112345813759278,"BP",FALSE
"regulation of embryonic development","GO:0045995","regulation of embryonic development",4.952192030272e-05,0.000519137330229355,"BP",FALSE
"positive regulation of fatty acid oxidation","GO:0046321","positive regulation of fatty acid oxidation",0.022896701386502,0.0187342139822502,"BP",TRUE
"glucose import","GO:0046323","glucose import",0.0190146677547631,0.00303225994726554,"BP",FALSE
"regulation of glucose import","GO:0046324","regulation of glucose import",0.0381941270896262,0.00123092296497247,"BP",FALSE
"negative regulation of glucose import","GO:0046325","negative regulation of glucose import",0.0285552925263909,0.0221794471296292,"BP",FALSE
"regulation of JNK cascade","GO:0046328","regulation of JNK cascade",0.0147212633076282,0.019899144815131,"BP",FALSE
"positive regulation of JNK cascade","GO:0046330","positive regulation of JNK cascade",0.0119196818982584,0.0277546303347047,"BP",FALSE
"SMAD binding","GO:0046332","SMAD binding",0.000658886352037936,1.54928549573087e-07,"MF",FALSE
"regulation of photoreceptor cell differentiation","GO:0046532","regulation of photoreceptor cell differentiation",0.00266762166387505,0.0243558447722977,"BP",FALSE
"regulation of Ras protein signal transduction","GO:0046578","regulation of Ras protein signal transduction",0.000208582959939516,0.00830231993596761,"BP",FALSE
"negative regulation of Ras protein signal transduction","GO:0046580","negative regulation of Ras protein signal transduction",0.0100557309827687,0.0171006511709401,"BP",FALSE
"regulation of organ growth","GO:0046620","regulation of organ growth",0.00669869640647934,6.50394205073178e-05,"BP",FALSE
"positive regulation of organ growth","GO:0046622","positive regulation of organ growth",0.00521301851641592,0.000408795104890842,"BP",FALSE
"regulation of insulin receptor signaling pathway","GO:0046626","regulation of insulin receptor signaling pathway",0.0338440038554197,0.0259564077969238,"BP",FALSE
"negative regulation of insulin receptor signaling pathway","GO:0046627","negative regulation of insulin receptor signaling pathway",0.0403004806441481,0.00311515357258837,"BP",FALSE
"female sex differentiation","GO:0046660","female sex differentiation",0.00677936407915836,0.0252670306665145,"BP",FALSE
"negative regulation of insulin secretion","GO:0046676","negative regulation of insulin secretion",0.00356093804636498,0.0456133029535276,"BP",FALSE
"protein autophosphorylation","GO:0046777","protein autophosphorylation",0.00241916131175212,0.0163883570990158,"BP",FALSE
"filopodium assembly","GO:0046847","filopodium assembly",0.00626959709663673,0.000889406585810294,"BP",FALSE
"retinoid X receptor binding","GO:0046965","retinoid X receptor binding",0.0402556358796538,0.0148253216973452,"MF",FALSE
"platelet-derived growth factor receptor signaling pathway","GO:0048008","platelet-derived growth factor receptor signaling pathway",0.0049103377003103,0.00120211838231621,"BP",FALSE
"vascular endothelial growth factor receptor signaling pathway","GO:0048010","vascular endothelial growth factor receptor signaling pathway",4.65183903002474e-06,0.00564027063115762,"BP",FALSE
"phosphatidylinositol-mediated signaling","GO:0048015","phosphatidylinositol-mediated signaling",0.00130304879511169,3.2506781384542e-05,"BP",FALSE
"inositol phosphate-mediated signaling","GO:0048016","inositol phosphate-mediated signaling",0.000153776202379816,0.0263372058247855,"BP",FALSE
"inositol lipid-mediated signaling","GO:0048017","inositol lipid-mediated signaling",0.001437240646714,1.3696438458461e-05,"BP",TRUE
"focal adhesion assembly","GO:0048041","focal adhesion assembly",2.2129421510333e-09,0.000971093213423303,"BP",FALSE
"embryonic eye morphogenesis","GO:0048048","embryonic eye morphogenesis",0.000521895868176835,3.04201967104453e-10,"BP",FALSE
"regulation of synaptic plasticity","GO:0048167","regulation of synaptic plasticity",1.37578866524537e-11,0.0378092128406694,"BP",FALSE
"mesoderm morphogenesis","GO:0048332","mesoderm morphogenesis",0.00163587375049307,7.69279998564897e-05,"BP",FALSE
"mesodermal cell differentiation","GO:0048333","mesodermal cell differentiation",0.000172779373048831,0.00426621951666311,"BP",FALSE
"cell development","GO:0048468","cell development",1.13712483602872e-38,2.40639119064273e-22,"BP",FALSE
"cell maturation","GO:0048469","cell maturation",0.0110992836443977,4.15968442902336e-06,"BP",FALSE
"rhythmic process","GO:0048511","rhythmic process",9.88672809865826e-09,0.0227221998102302,"BP",FALSE
"animal organ development","GO:0048513","animal organ development",1.098017438193e-28,5.24818040609328e-23,"BP",FALSE
"blood vessel morphogenesis","GO:0048514","blood vessel morphogenesis",1.1227813678288e-18,8.20413064198884e-10,"BP",FALSE
"positive regulation of biological process","GO:0048518","positive regulation of biological process",3.15485031648193e-34,3.80599683484699e-19,"BP",FALSE
"negative regulation of biological process","GO:0048519","negative regulation of biological process",5.43240185263499e-17,7.25371452481512e-19,"BP",FALSE
"positive regulation of cellular process","GO:0048522","positive regulation of cellular process",9.8821285274159e-35,3.1109539491443e-19,"BP",FALSE
"negative regulation of cellular process","GO:0048523","negative regulation of cellular process",2.96099258683069e-22,4.77679177562445e-24,"BP",FALSE
"hematopoietic or lymphoid organ development","GO:0048534","hematopoietic or lymphoid organ development",2.74447050072219e-07,0.0132011972185243,"BP",FALSE
"response to steroid hormone","GO:0048545","response to steroid hormone",5.88031228291952e-05,1.68260189549543e-05,"BP",FALSE
"embryonic organ morphogenesis","GO:0048562","embryonic organ morphogenesis",8.99264924532682e-08,2.27462174477814e-15,"BP",FALSE
"digestive tract development","GO:0048565","digestive tract development",0.0267805304358232,0.000105806190331329,"BP",FALSE
"embryonic organ development","GO:0048568","embryonic organ development",8.94989166281437e-08,1.37987479518289e-16,"BP",FALSE
"regulation of response to stimulus","GO:0048583","regulation of response to stimulus",1.09037562168356e-21,2.03892378518266e-07,"BP",FALSE
"positive regulation of response to stimulus","GO:0048584","positive regulation of response to stimulus",5.94698474586727e-12,0.0174893364795782,"BP",FALSE
"negative regulation of response to stimulus","GO:0048585","negative regulation of response to stimulus",6.0921100129332e-07,1.50615473380228e-10,"BP",FALSE
"developmental cell growth","GO:0048588","developmental cell growth",7.38546071473872e-05,4.31173574581007e-06,"BP",FALSE
"developmental growth","GO:0048589","developmental growth",5.81665660935601e-11,4.21609676109717e-13,"BP",FALSE
"eye morphogenesis","GO:0048592","eye morphogenesis",4.61824394304699e-07,1.56918389303818e-08,"BP",FALSE
"camera-type eye morphogenesis","GO:0048593","camera-type eye morphogenesis",9.91820291033e-06,1.26858224317779e-08,"BP",FALSE
"embryonic camera-type eye morphogenesis","GO:0048596","embryonic camera-type eye morphogenesis",0.00137411736014228,4.54065718931244e-08,"BP",FALSE
"embryonic morphogenesis","GO:0048598","embryonic morphogenesis",9.26164696376378e-13,1.38271815583265e-20,"BP",FALSE
"reproductive structure development","GO:0048608","reproductive structure development",1.21139724127308e-08,1.00913373751446e-06,"BP",FALSE
"regulation of muscle organ development","GO:0048634","regulation of muscle organ development",2.29477583909901e-06,0.000890726788695417,"BP",FALSE
"positive regulation of muscle organ development","GO:0048636","positive regulation of muscle organ development",4.28539115986588e-05,0.000119502199398862,"BP",FALSE
"regulation of developmental growth","GO:0048638","regulation of developmental growth",9.3928027269198e-06,8.79210490176097e-06,"BP",FALSE
"negative regulation of developmental growth","GO:0048640","negative regulation of developmental growth",0.0265970433527552,4.90863791702387e-06,"BP",FALSE
"muscle organ morphogenesis","GO:0048644","muscle organ morphogenesis",0.00215216185274431,0.0256447386939916,"BP",FALSE
"animal organ formation","GO:0048645","animal organ formation",0.00730897613860931,1.42219912833249e-05,"BP",FALSE
"anatomical structure formation involved in morphogenesis","GO:0048646","anatomical structure formation involved in morphogenesis",1.84464151838085e-26,1.96170362584117e-15,"BP",FALSE
"smooth muscle cell proliferation","GO:0048659","smooth muscle cell proliferation",1.62764385207792e-07,0.0214890224231942,"BP",FALSE
"regulation of smooth muscle cell proliferation","GO:0048660","regulation of smooth muscle cell proliferation",3.3221031266258e-07,0.0151457191914211,"BP",FALSE
"neuron fate commitment","GO:0048663","neuron fate commitment",0.00200783474760493,3.76213521110785e-05,"BP",FALSE
"neuron fate specification","GO:0048665","neuron fate specification",0.00958700604050547,0.00477736159373924,"BP",FALSE
"neuron development","GO:0048666","neuron development",8.28180459556147e-25,4.18660844687717e-21,"BP",FALSE
"cell morphogenesis involved in neuron differentiation","GO:0048667","cell morphogenesis involved in neuron differentiation",1.83218113654895e-16,1.89679818645411e-21,"BP",FALSE
"axon extension","GO:0048675","axon extension",0.000874385748081926,7.7691449747729e-05,"BP",FALSE
"regulation of axon regeneration","GO:0048679","regulation of axon regeneration",0.00228802120568801,0.0219998168768233,"BP",FALSE
"negative regulation of axon regeneration","GO:0048681","negative regulation of axon regeneration",0.0398178288723573,0.0420191503683301,"BP",FALSE
"generation of neurons","GO:0048699","generation of neurons",2.59797311945548e-33,2.32355111293897e-29,"BP",FALSE
"embryonic cranial skeleton morphogenesis","GO:0048701","embryonic cranial skeleton morphogenesis",0.00180042553735465,0.000943927081628299,"BP",FALSE
"embryonic viscerocranium morphogenesis","GO:0048703","embryonic viscerocranium morphogenesis",0.0416016183944502,0.00429393125165598,"BP",FALSE
"embryonic skeletal system morphogenesis","GO:0048704","embryonic skeletal system morphogenesis",0.000534309861112273,1.6469827247723e-05,"BP",FALSE
"skeletal system morphogenesis","GO:0048705","skeletal system morphogenesis",3.64869368136631e-06,5.92062579836781e-10,"BP",FALSE
"embryonic skeletal system development","GO:0048706","embryonic skeletal system development",1.59250630591422e-05,5.1136895294424e-05,"BP",FALSE
"astrocyte differentiation","GO:0048708","astrocyte differentiation",0.00169834699621152,0.000560335406321967,"BP",FALSE
"oligodendrocyte differentiation","GO:0048709","oligodendrocyte differentiation",0.000483704424587737,0.0126676897124731,"BP",FALSE
"regulation of oligodendrocyte differentiation","GO:0048713","regulation of oligodendrocyte differentiation",0.0102609128768751,0.00960706076502775,"BP",FALSE
"negative regulation of oligodendrocyte differentiation","GO:0048715","negative regulation of oligodendrocyte differentiation",0.0267157179012628,0.00338057002826469,"BP",FALSE
"tissue morphogenesis","GO:0048729","tissue morphogenesis",8.08668091379769e-06,2.13731713293946e-12,"BP",FALSE
"system development","GO:0048731","system development",2.52925159926723e-44,3.01262236401393e-34,"BP",FALSE
"gland development","GO:0048732","gland development",0.000224850473685134,4.97285075728792e-09,"BP",FALSE
"appendage development","GO:0048736","appendage development",0.000485393146269302,1.18968440257423e-08,"BP",FALSE
"cardiac muscle tissue development","GO:0048738","cardiac muscle tissue development",4.55663127215513e-08,0.00286164394475052,"BP",FALSE
"smooth muscle tissue development","GO:0048745","smooth muscle tissue development",0.0141585977154141,0.00241133673706682,"BP",FALSE
"mesenchymal cell differentiation","GO:0048762","mesenchymal cell differentiation",0.00252188801124896,5.09043406971828e-13,"BP",FALSE
"presynaptic active zone","GO:0048786","presynaptic active zone",0.000217510844539424,0.0307348234735554,"CC",FALSE
"neuron projection morphogenesis","GO:0048812","neuron projection morphogenesis",2.37860002805221e-16,4.61050789445702e-21,"BP",FALSE
"dendrite morphogenesis","GO:0048813","dendrite morphogenesis",2.50904841184839e-07,0.00297778614992597,"BP",FALSE
"regulation of dendrite morphogenesis","GO:0048814","regulation of dendrite morphogenesis",0.000195758999935735,0.0305970791904257,"BP",FALSE
"inner ear development","GO:0048839","inner ear development",3.420121552724e-06,2.35358744931939e-09,"BP",FALSE
"artery morphogenesis","GO:0048844","artery morphogenesis",0.0079626308643109,1.52785897958176e-05,"BP",FALSE
"venous blood vessel morphogenesis","GO:0048845","venous blood vessel morphogenesis",0.0162941829899653,0.00236755527233857,"BP",FALSE
"brain morphogenesis","GO:0048854","brain morphogenesis",0.0166812843434373,0.0449407246792332,"BP",FALSE
"anatomical structure development","GO:0048856","anatomical structure development",6.11931212801071e-48,3.23883362370263e-32,"BP",FALSE
"cell projection morphogenesis","GO:0048858","cell projection morphogenesis",2.8183899994909e-16,5.17912737123189e-22,"BP",FALSE
"formation of anatomical boundary","GO:0048859","formation of anatomical boundary",0.038556372843973,0.0250962926666452,"BP",FALSE
"stem cell differentiation","GO:0048863","stem cell differentiation",0.00345192104173687,2.93823620970163e-12,"BP",FALSE
"cellular developmental process","GO:0048869","cellular developmental process",8.16171262428197e-51,2.98506722324899e-26,"BP",FALSE
"cell motility","GO:0048870","cell motility",1.04330571574346e-27,1.19547884060447e-16,"BP",FALSE
"homeostasis of number of cells","GO:0048872","homeostasis of number of cells",0.0010501697899016,0.0253572038067706,"BP",FALSE
"homeostasis of number of cells within a tissue","GO:0048873","homeostasis of number of cells within a tissue",0.00705609997567951,0.0202073777478075,"BP",FALSE
"sensory system development","GO:0048880","sensory system development",4.57491498985983e-08,7.12969709065047e-11,"BP",FALSE
"mechanosensory lateral line system development","GO:0048881","mechanosensory lateral line system development",0.00187738426617587,0.00841457907911194,"BP",FALSE
"lateral line development","GO:0048882","lateral line development",0.00445208963814493,0.00381534728591685,"BP",FALSE
"posterior lateral line system development","GO:0048915","posterior lateral line system development",0.00371836785180492,0.00298106096065374,"BP",FALSE
"posterior lateral line development","GO:0048916","posterior lateral line development",0.00163581047540234,0.00220188751129732,"BP",FALSE
"posterior lateral line neuromast development","GO:0048919","posterior lateral line neuromast development",0.00560210758645641,0.0270435095137479,"BP",FALSE
"lateral line system development","GO:0048925","lateral line system development",0.00514833910907581,0.00451817454702728,"BP",FALSE
"epithelial cell proliferation","GO:0050673","epithelial cell proliferation",5.1584182349389e-06,1.11009002720923e-06,"BP",FALSE
"regulation of epithelial cell proliferation","GO:0050678","regulation of epithelial cell proliferation",3.37152592140971e-05,2.33742257156136e-06,"BP",FALSE
"positive regulation of epithelial cell proliferation","GO:0050679","positive regulation of epithelial cell proliferation",3.88764698578693e-06,4.65551746021096e-05,"BP",FALSE
"negative regulation of protein secretion","GO:0050709","negative regulation of protein secretion",0.00956897520913035,0.0459293932468626,"BP",FALSE
"regulation of neurogenesis","GO:0050767","regulation of neurogenesis",1.01876196857983e-21,3.04448574615438e-16,"BP",FALSE
"negative regulation of neurogenesis","GO:0050768","negative regulation of neurogenesis",3.91819357720612e-08,2.93840225727004e-13,"BP",FALSE
"positive regulation of neurogenesis","GO:0050769","positive regulation of neurogenesis",5.99129416658119e-12,2.31426856687247e-08,"BP",FALSE
"regulation of axonogenesis","GO:0050770","regulation of axonogenesis",0.00159691772034192,8.58633198929577e-07,"BP",FALSE
"positive regulation of axonogenesis","GO:0050772","positive regulation of axonogenesis",0.00312501241271698,0.0256356028460303,"BP",FALSE
"regulation of dendrite development","GO:0050773","regulation of dendrite development",5.56828939249389e-09,0.00350972267914861,"BP",FALSE
"regulation of biological process","GO:0050789","regulation of biological process",2.12745128803763e-35,2.87762342622826e-12,"BP",FALSE
"regulation of catalytic activity","GO:0050790","regulation of catalytic activity",3.3613646400453e-13,0.0280828424541728,"BP",FALSE
"regulation of developmental process","GO:0050793","regulation of developmental process",1.78258215325213e-40,1.60506780485225e-22,"BP",FALSE
"regulation of cellular process","GO:0050794","regulation of cellular process",3.6474772608101e-38,2.03221343144735e-15,"BP",FALSE
"regulation of synapse structure or activity","GO:0050803","regulation of synapse structure or activity",2.43771004002112e-12,8.29776316868905e-05,"BP",FALSE
"modulation of chemical synaptic transmission","GO:0050804","modulation of chemical synaptic transmission",3.81779424693667e-18,0.00162876430891089,"BP",FALSE
"negative regulation of synaptic transmission","GO:0050805","negative regulation of synaptic transmission",6.98772798934278e-05,0.0364077240611673,"BP",FALSE
"positive regulation of synaptic transmission","GO:0050806","positive regulation of synaptic transmission",2.04865692644903e-06,0.00550301494990856,"BP",FALSE
"regulation of synapse organization","GO:0050807","regulation of synapse organization",8.88932472798206e-12,3.60170435418555e-05,"BP",FALSE
"synapse organization","GO:0050808","synapse organization",1.47748752639086e-19,7.07168903789023e-08,"BP",FALSE
"cell adhesion molecule binding","GO:0050839","cell adhesion molecule binding",2.15116132017056e-07,0.024451929232264,"MF",FALSE
"brown fat cell differentiation","GO:0050873","brown fat cell differentiation",0.00522029796092808,0.0171006511709401,"BP",TRUE
"cognition","GO:0050890","cognition",1.75622792718915e-09,0.00102581812349347,"BP",FALSE
"response to stimulus","GO:0050896","response to stimulus",7.5801394752909e-50,1.63545267051343e-07,"BP",FALSE
"actin filament bundle assembly","GO:0051017","actin filament bundle assembly",4.60000100217499e-12,0.000706888898110598,"BP",FALSE
"negative regulation of secretion","GO:0051048","negative regulation of secretion",0.00041535095933746,0.023547817230738,"BP",FALSE
"negative regulation of transport","GO:0051051","negative regulation of transport",2.52312585218019e-06,0.0398530309317822,"BP",FALSE
"regulation of small GTPase mediated signal transduction","GO:0051056","regulation of small GTPase mediated signal transduction",2.44779490871188e-08,0.00109386701840958,"BP",FALSE
"negative regulation of small GTPase mediated signal transduction","GO:0051058","negative regulation of small GTPase mediated signal transduction",0.00373802945392295,0.00564553097691323,"BP",FALSE
"negative regulation of developmental process","GO:0051093","negative regulation of developmental process",7.41014758511131e-17,9.30875219732281e-19,"BP",FALSE
"positive regulation of developmental process","GO:0051094","positive regulation of developmental process",1.25798938552468e-27,1.28450941385046e-12,"BP",FALSE
"regulation of binding","GO:0051098","regulation of binding",0.0138593498274924,0.0035542945617156,"BP",FALSE
"regulation of cellular component organization","GO:0051128","regulation of cellular component organization",8.44337853436232e-16,5.74885177217234e-09,"BP",FALSE
"negative regulation of cellular component organization","GO:0051129","negative regulation of cellular component organization",0.000238984606932289,3.52670917573694e-05,"BP",FALSE
"positive regulation of cellular component organization","GO:0051130","positive regulation of cellular component organization",3.93085227892706e-10,1.8607985589299e-05,"BP",FALSE
"smooth muscle cell differentiation","GO:0051145","smooth muscle cell differentiation",4.54225031390489e-05,0.000281889439673358,"BP",FALSE
"regulation of muscle cell differentiation","GO:0051147","regulation of muscle cell differentiation",4.35551978650269e-09,0.00102049279700252,"BP",FALSE
"negative regulation of muscle cell differentiation","GO:0051148","negative regulation of muscle cell differentiation",0.00192162149210506,0.0139995427250146,"BP",FALSE
"positive regulation of muscle cell differentiation","GO:0051149","positive regulation of muscle cell differentiation",2.86057116201125e-07,0.0478032237121052,"BP",FALSE
"regulation of smooth muscle cell differentiation","GO:0051150","regulation of smooth muscle cell differentiation",0.0143005954166259,0.0235125953094829,"BP",FALSE
"regulation of striated muscle cell differentiation","GO:0051153","regulation of striated muscle cell differentiation",3.86606074483218e-08,0.00374673358414195,"BP",FALSE
"positive regulation of striated muscle cell differentiation","GO:0051155","positive regulation of striated muscle cell differentiation",4.2018858213727e-06,0.0267475062763675,"BP",FALSE
"regulation of nitrogen compound metabolic process","GO:0051171","regulation of nitrogen compound metabolic process",0.0132506248825135,1.17477549707155e-19,"BP",FALSE
"negative regulation of nitrogen compound metabolic process","GO:0051172","negative regulation of nitrogen compound metabolic process",1.93267977852137e-10,5.32708612512863e-20,"BP",FALSE
"positive regulation of nitrogen compound metabolic process","GO:0051173","positive regulation of nitrogen compound metabolic process",3.67654088434554e-14,1.80202603427698e-18,"BP",FALSE
"regulation of phosphorus metabolic process","GO:0051174","regulation of phosphorus metabolic process",1.42250870739098e-09,1.60079689063987e-05,"BP",FALSE
"localization","GO:0051179","localization",1.68618083154948e-33,0.0104795822479363,"BP",FALSE
"cartilage development","GO:0051216","cartilage development",1.98704845827778e-07,1.30336463316888e-05,"BP",FALSE
"negative regulation of protein transport","GO:0051224","negative regulation of protein transport",0.0165784131225476,0.0225889014572512,"BP",FALSE
"regulation of multicellular organismal process","GO:0051239","regulation of multicellular organismal process",3.73307267745732e-39,2.76206066269062e-16,"BP",FALSE
"positive regulation of multicellular organismal process","GO:0051240","positive regulation of multicellular organismal process",4.22186265107864e-22,3.19308900349241e-09,"BP",FALSE
"negative regulation of multicellular organismal process","GO:0051241","negative regulation of multicellular organismal process",3.90281090171068e-20,8.21236466339768e-13,"BP",FALSE
"regulation of protein metabolic process","GO:0051246","regulation of protein metabolic process",1.38714710232782e-07,5.93562849333355e-07,"BP",FALSE
"positive regulation of protein metabolic process","GO:0051247","positive regulation of protein metabolic process",4.74608581520124e-07,0.00150071002353171,"BP",FALSE
"negative regulation of protein metabolic process","GO:0051248","negative regulation of protein metabolic process",4.90277656334465e-06,8.48731756249779e-06,"BP",FALSE
"regulation of RNA metabolic process","GO:0051252","regulation of RNA metabolic process",0.0344502342282668,1.13947040708687e-23,"BP",FALSE
"negative regulation of RNA metabolic process","GO:0051253","negative regulation of RNA metabolic process",2.10227343783637e-10,3.37727883043338e-21,"BP",FALSE
"positive regulation of RNA metabolic process","GO:0051254","positive regulation of RNA metabolic process",1.8585167674943e-14,1.60026365691129e-24,"BP",FALSE
"protein polymerization","GO:0051258","protein polymerization",0.00025476869174333,0.0138976603759916,"BP",FALSE
"regulation of cellular component movement","GO:0051270","regulation of cellular component movement",1.17058445927879e-26,8.05005894556266e-12,"BP",FALSE
"negative regulation of cellular component movement","GO:0051271","negative regulation of cellular component movement",4.62255766713063e-08,8.55187060177999e-08,"BP",FALSE
"positive regulation of cellular component movement","GO:0051272","positive regulation of cellular component movement",7.42679004068387e-13,3.87283973690699e-05,"BP",FALSE
"regulation of hydrolase activity","GO:0051336","regulation of hydrolase activity",4.24712376944279e-05,0.0478987168295502,"BP",FALSE
"regulation of transferase activity","GO:0051338","regulation of transferase activity",2.63400516611568e-09,0.00124371356177873,"BP",FALSE
"positive regulation of transferase activity","GO:0051347","positive regulation of transferase activity",2.431450247921e-11,0.00728229709188149,"BP",FALSE
"response to glucocorticoid","GO:0051384","response to glucocorticoid",0.0361657922025274,0.011704282388054,"BP",FALSE
"neuron apoptotic process","GO:0051402","neuron apoptotic process",0.00353463223965769,0.00969055894492012,"BP",FALSE
"regulation of filopodium assembly","GO:0051489","regulation of filopodium assembly",0.0391163157837231,0.00909966708899242,"BP",FALSE
"regulation of stress fiber assembly","GO:0051492","regulation of stress fiber assembly",1.87086048648774e-06,0.00159334328702925,"BP",FALSE
"regulation of cytoskeleton organization","GO:0051493","regulation of cytoskeleton organization",4.42116385269588e-06,0.00156544123874837,"BP",FALSE
"negative regulation of cytoskeleton organization","GO:0051494","negative regulation of cytoskeleton organization",0.00494170133116409,0.000219130429424621,"BP",FALSE
"positive regulation of stress fiber assembly","GO:0051496","positive regulation of stress fiber assembly",0.000433373857188345,0.00777491707645783,"BP",FALSE
"negative regulation of stress fiber assembly","GO:0051497","negative regulation of stress fiber assembly",0.0016697454027343,0.0195182944441232,"BP",FALSE
"localization of cell","GO:0051674","localization of cell",1.04330571574346e-27,1.19547884060447e-16,"BP",FALSE
"cellular response to stimulus","GO:0051716","cellular response to stimulus",1.4740715009437e-38,4.59304042291676e-08,"BP",FALSE
"regulation of focal adhesion assembly","GO:0051893","regulation of focal adhesion assembly",2.68051846744042e-07,0.000784504240090108,"BP",FALSE
"regulation of protein kinase B signaling","GO:0051896","regulation of protein kinase B signaling",0.00472171754011694,0.00332047801496343,"BP",FALSE
"positive regulation of protein kinase B signaling","GO:0051897","positive regulation of protein kinase B signaling",0.00430195065475832,0.00474766439070046,"BP",FALSE
"regulation of nervous system development","GO:0051960","regulation of nervous system development",7.43781774023961e-26,2.98294123492108e-18,"BP",FALSE
"negative regulation of nervous system development","GO:0051961","negative regulation of nervous system development",3.6617641499606e-09,1.52099935404524e-12,"BP",FALSE
"positive regulation of nervous system development","GO:0051962","positive regulation of nervous system development",6.11479137053409e-15,6.69759464131765e-10,"BP",FALSE
"regulation of synapse assembly","GO:0051963","regulation of synapse assembly",2.02821528310015e-08,5.45118862838453e-06,"BP",FALSE
"positive regulation of synapse assembly","GO:0051965","positive regulation of synapse assembly",0.000271618647807732,0.000199710802571622,"BP",FALSE
"negative regulation of synaptic transmission, glutamatergic","GO:0051967","negative regulation of synaptic transmission, glutamatergic",0.00103132914116571,0.0250962926666452,"BP",FALSE
"cardiac muscle tissue growth","GO:0055017","cardiac muscle tissue growth",0.000143912222912215,0.00111085198501048,"BP",FALSE
"regulation of cardiac muscle tissue growth","GO:0055021","regulation of cardiac muscle tissue growth",0.00189347128685899,0.00690316607276812,"BP",FALSE
"positive regulation of cardiac muscle tissue growth","GO:0055023","positive regulation of cardiac muscle tissue growth",0.00337523823672984,0.00144643865861361,"BP",FALSE
